Unnamed: 0,Unnamed: 1,Q105_1,Q105_2,Q105_3,Q105_4,Q105_5,Q105_6,Q105_7,Q105_8,Q105_9,Q105_10,Q105_11,Q105_12,Q105_13,Q105_14,Q105_15,Q105_16,Q105_17,Q105_18,Q105_19,Q105_20,Q105_21,Q105_22,Q105_23,Q105_24,Q105_25,Q105_26,Q105_27,Q105_28,Q105_29,Q105_30,Q105_31,Q105_32,Q105_33,Q105_34,MAx1,Max2,Max3,Scenario 1 ,Unnamed: 40,Scenario 2 ,Unnamed: 42,Scenario 3 ,Unnamed: 44,Scenario 4,Unnamed: 46,Scenario 5 ,Unnamed: 48
"LWDMI Choice_June 13, 2024_13.05",2,4,5,5,5,5,5,6,5,4,5,2,2,2,2,2,2,2,2,2,2,3,4,3,1,2,2,2,3,2,2,2,2,3,2,49.0,27.0,26.0,10.0,5.0,9.0,10.0,5.0,5.0,6.0,5.0,5.0,5.0
"LWDMI Choice_June 13, 2024_13.06",3,2,3,4,3,2,4,3,4,3,2,3,4,3,2,3,4,1,2,3,4,3,2,1,1,2,3,4,3,2,2,3,4,3,2,30.0,34.0,30.0,9.0,8.0,9.0,9.0,8.0,9.0,1.0,1.0,8.0,9.0
"LWDMI Choice_June 13, 2024_13.07",4,5,5,4,4,5,5,4,5,3,4,3,3,3,2,2,2,2,2,2,2,2,5,5,5,6,6,6,6,6,6,6,6,6,6,44.0,30.0,70.0,9.0,3.0,8.0,3.0,1.0,1.0,5.0,6.0,8.0,4.0
"LWDMI Choice_June 13, 2024_13.09",6,4,6,5,4,5,6,5,6,3,5,2,5,3,5,3,3,3,3,5,6,3,2,3,6,3,5,4,4,4,5,3,6,5,5,49.0,43.0,53.0,9.0,10.0,10.0,2.0,2.0,9.0,10.0,0.0,9.0,0.0
"LWDMI Choice_June 13, 2024_13.10",7,4,5,5,4,4,5,4,5,4,5,2,2,2,3,3,3,3,2,3,3,4,3,4,3,3,4,4,4,4,4,4,5,4,4,45.0,33.0,47.0,10.0,9.0,8.0,2.0,3.0,5.0,10.0,8.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.11",8,4,5,6,5,5,6,5,5,6,5,5,6,5,6,5,6,5,5,5,4,4,4,4,5,5,5,6,5,4,5,5,6,5,5,52.0,60.0,60.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0
"LWDMI Choice_June 13, 2024_13.12",9,4,5,6,5,5,6,4,5,6,5,3,5,6,5,1,5,4,1,1,3,5,1,4,6,5,5,4,5,3,2,4,2,4,5,51.0,40.0,49.0,10.0,0.0,6.0,9.0,1.0,0.0,9.0,10.0,3.0,0.0
"LWDMI Choice_June 13, 2024_13.14",11,5,6,6,5,5,6,6,6,4,4,1,4,4,3,2,3,1,4,4,3,4,2,4,6,5,5,4,5,5,6,5,4,5,6,53.0,35.0,60.0,10.0,2.0,8.0,2.0,2.0,1.0,10.0,7.0,8.0,5.0
"LWDMI Choice_June 13, 2024_13.15",12,5,4,4,5,5,4,5,4,5,4,4,5,4,4,5,4,5,4,4,3,4,5,4,4,5,4,5,4,4,5,4,5,4,5,45.0,51.0,53.0,8.0,7.0,9.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0
"LWDMI Choice_June 13, 2024_13.16",13,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,40.0,38.0,46.0,10.0,10.0,10.0,0.0,2.0,1.0,10.0,10.0,10.0,10.0
"LWDMI Choice_June 13, 2024_13.17",14,5,6,3,6,5,5,6,6,5,3,4,6,6,5,6,4,6,6,5,5,6,5,6,5,5,4,5,3,6,5,3,6,6,4,50.0,64.0,58.0,6.0,6.0,10.0,7.0,8.0,6.0,8.0,8.0,7.0,6.0
