Protect Life Under Comand,Protect Life of Fellow Soldier,Protect Life of Civilian,Complete The Mission,Pursue Known Memory,Avoid Negitive Consequences,Avoid Blame,Act Within the Law,Everyone Free Will,Exert Authority,Obay Orders
26,25,22,22,20,22,20,28,14,14,21
17,16,13,22,12,8,8,15,21,14,12
23,20,22,23,14,11,10,24,25,13,21
24,15,24,19,15,16,22,20,22,16,16
16,16,16,16,16,16,16,16,16,16,16
14,16,12,16,16,16,16,10,22,10,16
15,15,16,13,16,14,12,16,16,14,16
26,28,25,16,22,24,21,15,14,16,10
14,19,15,20,17,20,20,16,19,20,12
14,25,22,18,19,16,16,23,22,16,19
24,24,24,28,20,20,24,24,28,20,24
19,18,19,13,18,16,16,17,22,16,14
24,24,20,16,14,12,19,15,23,17,13
16,16,16,16,16,16,16,16,16,16,22
21,17,15,15,17,14,25,14,16,14,14
28,28,16,28,18,23,19,28,23,16,20
17,25,24,22,24,16,16,22,21,16,22
17,18,22,22,16,16,16,16,16,16,16
23,23,16,28,17,28,16,28,28,24,12
18,18,19,16,14,14,11,16,16,10,11
15,17,8,22,16,17,15,24,28,15,21
26,21,24,14,9,4,6,8,17,8,6
18,18,19,22,20,13,14,19,22,18,18
22,22,22,22,16,10,16,16,19,16,16
14,8,4,28,16,11,5,23,16,5,14
25,28,25,23,18,14,18,28,28,15,20
26,22,22,22,19,22,14,22,22,18,17
25,22,22,28,10,16,9,21,28,14,7
